,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,0,0,1,0,1,0,1,0,0,2,0,0,0,0,0,1,2,142,74,0
1,1,0,0,0,34,1,0,0,2,0,2,0,0,0,1,0,3,498,3624,0
2,1,0,0,0,2,1,0,0,2,2,0,0,0,0,0,1,3,436,536,1
3,1,0,0,0,45,0,1,0,2,0,2,2,0,0,1,0,0,266,3570,0
4,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,729,674,1
5,0,0,0,0,8,1,2,1,0,0,2,0,2,2,0,1,2,1274,2173,1
6,1,0,0,1,22,1,2,1,0,2,0,0,2,0,0,1,1,1075,3673,0
7,0,0,0,0,10,0,1,0,2,0,0,0,0,0,0,0,3,140,1145,0
8,0,0,1,0,28,1,2,1,0,0,2,2,2,2,0,1,2,1371,4384,1
9,1,0,0,1,62,1,0,0,2,2,0,0,0,0,1,0,0,482,4631,0
10,1,0,1,1,13,1,0,0,2,0,0,0,0,0,0,1,3,375,1775,0
11,1,0,0,0,16,1,0,2,1,1,1,1,1,1,2,0,1,8,1213,0
12,1,0,1,0,58,1,2,1,0,0,2,0,2,2,1,0,1,1288,5688,0
13,1,0,0,0,49,1,2,1,0,2,2,0,2,2,0,1,0,1349,5421,1
14,1,0,0,0,25,1,0,1,2,0,2,2,2,2,0,1,2,1385,4178,0
15,0,0,1,1,69,1,2,1,2,2,2,2,2,2,2,0,1,1519,6429,0
16,0,0,0,0,52,1,0,2,1,1,1,1,1,1,1,0,3,42,2496,0
17,1,0,0,1,71,1,2,1,2,0,2,0,2,2,2,0,0,1409,6309,0
18,0,0,1,1,10,1,0,0,0,0,2,2,0,0,0,0,1,463,1660,1
19,0,0,0,0,21,1,0,1,0,2,2,0,0,2,0,1,2,1094,3596,0
20,1,1,0,0,1,0,1,0,0,0,2,0,0,2,0,1,2,237,112,1
21,1,0,1,0,12,1,0,2,1,1,1,1,1,1,1,0,0,25,852,0
22,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,32,25,1
23,0,0,1,0,58,1,2,0,0,2,0,2,0,0,2,1,1,541,4636,0
24,1,0,1,1,49,1,0,0,2,2,0,2,0,0,0,0,1,535,4330,0
25,0,0,0,0,30,1,0,0,2,2,0,0,0,0,0,1,0,465,3244,0
26,1,0,1,1,47,1,2,1,0,2,0,0,2,2,0,1,2,1268,5267,1
27,1,0,1,1,1,0,1,0,0,2,0,0,0,0,0,0,2,148,77,1
28,1,0,1,0,72,1,2,0,2,2,2,2,2,2,2,1,1,1098,5982,0
29,0,0,0,1,17,1,0,0,0,0,0,0,2,2,0,1,3,622,2609,1
30,0,1,1,0,71,1,2,1,2,2,2,2,0,0,2,1,1,1215,6125,0
31,1,1,1,0,2,1,0,1,0,0,2,0,2,2,0,1,1,1198,787,0
32,0,0,1,1,27,1,0,0,2,2,2,2,0,0,1,0,3,650,3609,0
33,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,0,33,26,0
34,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,310,151,0
35,0,0,1,1,72,1,2,1,2,2,0,2,2,0,2,0,0,1279,6274,0
36,1,0,0,0,5,1,0,1,0,0,0,0,0,0,0,1,2,709,1182,1
